Название,Тип,Широта,Долгота,Описание,Местоположение
sdfgdsgfdsfdsf,materialsSupplier,53.346785,83.776860,Регион поставщик ПКИ,Алтайский край
Архангельская область,componentsSupplier,64.539912,40.515762,Регион поставщик ПКИ,Архангельская область
Белгородская область,componentsSupplier,50.595415,36.587272,Регион поставщик ПКИ,Белгородская область
Брянская область,componentsSupplier,53.243561,34.363428,Регион поставщик ПКИ,Брянская область
Владимирская область,componentsSupplier,56.129057,40.406635,Регион поставщик ПКИ,Владимирская область
Волгоградская область,componentsSupplier,48.707068,44.516979,Регион поставщик ПКИ,Волгоградская область
Воронежская область,componentsSupplier,51.660779,39.200292,Регион поставщик ПКИ,Воронежская область
Ивановская область,componentsSupplier,57.000348,40.973921,Регион поставщик ПКИ,Ивановская область
Иркутская область,componentsSupplier,52.289590,104.280608,Регион поставщик ПКИ,Иркутская область
Калужская область,componentsSupplier,54.513845,36.261215,Регион поставщик ПКИ,Калужская область
Кемеровская область,componentsSupplier,55.355200,86.086848,Регион поставщик ПКИ,Кемеровская область
Кировская область,componentsSupplier,58.603595,49.668019,Регион поставщик ПКИ,Кировская область
Краснодарский край,componentsSupplier,45.035470,38.975313,Регион поставщик ПКИ,Краснодарский край
Курганская область,componentsSupplier,55.441005,65.341122,Регион поставщик ПКИ,Курганская область
Курская область,componentsSupplier,51.730848,36.193015,Регион поставщик ПКИ,Курская область
Ленинградская область,componentsSupplier,59.938951,30.315635,Регион поставщик ПКИ,Ленинградская область
Липецкая область,componentsSupplier,52.608820,39.599220,Регион поставщик ПКИ,Липецкая область
Москва,componentsSupplier,55.755864,37.617698,Регион поставщик ПКИ,Москва
Московская область,componentsSupplier,55.755863,37.617700,Регион поставщик ПКИ,Московская область
Нижегородская область,componentsSupplier,56.326799,44.006520,Регион поставщик ПКИ,Нижегородская область
Новгородская область,componentsSupplier,58.522856,31.269813,Регион поставщик ПКИ,Новгородская область
Новосибирская область,componentsSupplier,55.030199,82.920430,Регион поставщик ПКИ,Новосибирская область
Омская область,componentsSupplier,54.989342,73.368212,Регион поставщик ПКИ,Омская область
Оренбургская область,componentsSupplier,51.768199,55.096955,Регион поставщик ПКИ,Оренбургская область
Орловская область,componentsSupplier,52.970758,36.064355,Регион поставщик ПКИ,Орловская область
Пензенская область,componentsSupplier,53.195042,45.018318,Регион поставщик ПКИ,Пензенская область
Пермский край,componentsSupplier,58.010454,56.229441,Регион поставщик ПКИ,Пермский край
Приморский край,componentsSupplier,43.115536,131.885485,Регион поставщик ПКИ,Приморский край
Республика Алтай,componentsSupplier,51.957805,85.960631,Регион поставщик ПКИ,Республика Алтай
Республика Башкортостан,componentsSupplier,54.735147,55.958727,Регион поставщик ПКИ,Республика Башкортостан
Республика Бурятия (Улан-Удэ),componentsSupplier,51.834809,107.584547,Регион поставщик ПКИ,Республика Бурятия (Улан-Удэ)
Республика Дагестан (г. Кизляр),componentsSupplier,43.850312,46.710338,Регион поставщик ПКИ,Республика Дагестан (г. Кизляр)
Республика Карачаево-Черкесия (Малокарачаевский район село Учкекен),componentsSupplier,43.945512,42.514792,Регион поставщик ПКИ,
Республика Марий Эл (Звениговский р-н Красногорский пгт.),componentsSupplier,56.152485,48.322661,Регион поставщик ПКИ,
Республика Мордовия,componentsSupplier,54.187433,45.183939,Регион поставщик ПКИ,Республика Мордовия
Республика Татарстан,componentsSupplier,55.796129,49.106414,Регион поставщик ПКИ,Республика Татарстан
Ростовская область,componentsSupplier,47.222078,39.720349,Регион поставщик ПКИ,Ростовская область
Рязанская область,componentsSupplier,54.629565,39.741914,Регион поставщик ПКИ,Рязанская область
Самарская область,componentsSupplier,53.195876,50.100199,Регион поставщик ПКИ,Самарская область
Санкт-Петербург,componentsSupplier,59.938784,30.314997,Регион поставщик ПКИ,Санкт-Петербург
Саратовская область,componentsSupplier,51.533561,46.034265,Регион поставщик ПКИ,Саратовская область
Свердловская область,componentsSupplier,56.838011,60.597465,Регион поставщик ПКИ,Свердловская область
Смоленская область,componentsSupplier,54.782634,32.045288,Регион поставщик ПКИ,Смоленская область
Ставропольский край,componentsSupplier,45.043315,41.969111,Регион поставщик ПКИ,Ставропольский край
Тамбовская область,componentsSupplier,52.721293,41.452749,Регион поставщик ПКИ,Тамбовская область
Тверская область,componentsSupplier,56.859626,35.911856,Регион поставщик ПКИ,Тверская область
Томская область,componentsSupplier,56.484640,84.947649,Регион поставщик ПКИ,Томская область
Тульская область,componentsSupplier,54.193122,37.617348,Регион поставщик ПКИ,Тульская область
Тюменская область,componentsSupplier,57.152986,65.541231,Регион поставщик ПКИ,Тюменская область
Удмуртская Республика,componentsSupplier,56.852677,53.206896,Регион поставщик ПКИ,Удмуртская Республика
Ульяновская область,componentsSupplier,54.314194,48.403131,Регион поставщик ПКИ,Ульяновская область
Челябинская область,componentsSupplier,55.159897,61.402554,Регион поставщик ПКИ,Челябинская область
Чувашская Республика,componentsSupplier,56.139920,47.247731,Регион поставщик ПКИ,Чувашская Республика
Ярославская область,componentsSupplier,57.626560,39.893813,Регион поставщик ПКИ,Ярославская область
Филиал ПАО «Ил» - ВАСО,manufacturingFactory,51.660779,39.200292,Replace,Воронеж
Иркутский Авиационный Завод - Филиал ПАО «Корпорация «Иркут»,manufacturingFactory,52.289588,104.280606,Replace",Иркутск
Казанский авиационный завод имени С.П. Горбунова – филиал ПАО «Туполев»,manufacturingFactory,55.796127,49.106414,Replace,Казань
Филиал ПАО «ОАК» – КнААЗ им. Ю.А. Гагарина,manufacturingFactory,50.550055,137.008685,Replace,Комсомольск-на-Амуре
Производственный центр в г. Комсомольске-на-Амуре Филиала ПАО «Корпорация «Иркут» «Региональные самолеты»,manufacturingFactory,50.550055,137.008685,Replace,Комсомольск-на-Амуре
Филиал ПАО «ОАК» – ЛАЗ им. П.А. Воронина,manufacturingFactory,54.965150,39.026050,Replace,МО
Филиал ПАО «ОАК» – НАЗ «Сокол»,manufacturingFactory,56.326797,44.006516,Модернизация самолетов марки МиГ,Нижний Новгород
Филиал ПАО «ОАК» – НАЗ им. В.П. Чкалова,manufacturingFactory,55.030204,82.920430,Replace,Новосибирск
ПАО «ТАНТК им. Г.М. Бериева»,manufacturingFactory,47.208735,38.936694,Replace,Таганрог
Филиал ПАО «Ил» - Авиастар,manufacturingFactory,54.314192,48.403132,Replace,Ульяновск
АО «АэроKомпозит»,manufacturingFactory,54.314192,48.403132,Производство композитного крыла,Ульяновск
Алтайский край,materialsSupplier,53.346785,83.776860,Регион поставщик материалов,Алтайский край
Амурская область,materialsSupplier,50.290658,127.527173,Регион поставщик материалов,Амурская область
Архангельская область,materialsSupplier,64.539912,40.515762,Регион поставщик материалов,Архангельская область
Астраханская область,materialsSupplier,46.347616,48.030175,Регион поставщик материалов,Астраханская область
Белгородская область,materialsSupplier,50.595415,36.587272,Регион поставщик материалов,Белгородская область
Брянская область,materialsSupplier,53.243561,34.363428,Регион поставщик материалов,Брянская область
